time,buyer_id,seller_id,price,quantity,ptype,period,buyer_algo,buyer_util,buyer_balance,seller_algo,seller_util,seller_balance
73,8,5,15,1,Y,2,ZIP,0.1,"{'money': 40, 'X': 1, 'Y': 17}",ZIP,0.2,"{'money': 140, 'X': 2, 'Y': 8}"
74,4,4,47,1,X,2,ZIP,0.3,"{'money': 277, 'X': 1, 'Y': 6}",ZIP,0.3,"{'money': 277, 'X': 1, 'Y': 6}"
74,9,5,15,1,Y,2,ZIP,0.3,"{'money': 121, 'X': 4, 'Y': 6}",ZIP,0.2,"{'money': 155, 'X': 2, 'Y': 7}"
75,7,8,15,1,Y,2,ZIP,0.4,"{'money': 277, 'X': 0, 'Y': 8}",ZIP,0.1,"{'money': 55, 'X': 1, 'Y': 16}"
75,4,5,15,1,Y,2,ZIP,0.35,"{'money': 262, 'X': 1, 'Y': 7}",ZIP,0.2,"{'money': 170, 'X': 2, 'Y': 6}"
75,6,9,47,1,X,2,ZIP,0.3,"{'money': 102, 'X': 4, 'Y': 6}",ZIP,0.3,"{'money': 168, 'X': 3, 'Y': 6}"
76,1,5,15,1,Y,2,ZIP,0.25,"{'money': 354, 'X': 0, 'Y': 5}",ZIP,0.2,"{'money': 185, 'X': 2, 'Y': 5}"
77,7,4,47,1,X,2,ZIP,0.4,"{'money': 230, 'X': 1, 'Y': 8}",ZIP,0.35,"{'money': 309, 'X': 0, 'Y': 7}"
78,9,8,15,1,Y,2,ZIP,0.3,"{'money': 153, 'X': 3, 'Y': 7}",ZIP,0.1,"{'money': 70, 'X': 1, 'Y': 15}"
78,9,5,15,1,Y,2,ZIP,0.3,"{'money': 138, 'X': 3, 'Y': 8}",ZIP,0.2,"{'money': 200, 'X': 2, 'Y': 4}"
80,9,9,15,1,Y,2,ZIP,0.3,"{'money': 138, 'X': 3, 'Y': 8}",ZIP,0.3,"{'money': 138, 'X': 3, 'Y': 8}"
81,1,8,15,1,Y,2,ZIP,0.3,"{'money': 339, 'X': 0, 'Y': 6}",ZIP,0.1,"{'money': 85, 'X': 1, 'Y': 14}"
81,1,9,15,1,Y,2,ZIP,0.35,"{'money': 324, 'X': 0, 'Y': 7}",ZIP,0.3,"{'money': 153, 'X': 3, 'Y': 7}"
83,5,5,15,1,Y,2,ZIP,0.2,"{'money': 200, 'X': 2, 'Y': 4}",ZIP,0.2,"{'money': 200, 'X': 2, 'Y': 4}"
84,8,5,15,1,Y,2,ZIP,0.1,"{'money': 70, 'X': 1, 'Y': 15}",ZIP,0.2,"{'money': 215, 'X': 2, 'Y': 3}"
84,1,2,15,1,Y,2,ZIP,0.4,"{'money': 309, 'X': 0, 'Y': 8}",ZIP,0.3,"{'money': 122, 'X': 3, 'Y': 7}"
85,7,6,47,1,X,2,ZIP,0.4,"{'money': 183, 'X': 2, 'Y': 8}",ZIP,0.3,"{'money': 149, 'X': 3, 'Y': 6}"
85,1,9,15,1,Y,2,ZIP,0.45,"{'money': 294, 'X': 0, 'Y': 9}",ZIP,0.3,"{'money': 168, 'X': 3, 'Y': 6}"
87,7,8,15,1,Y,2,ZIP,0.42,"{'money': 168, 'X': 2, 'Y': 9}",ZIP,0.1,"{'money': 85, 'X': 1, 'Y': 14}"
91,6,7,47,1,X,2,ZIP,0.3,"{'money': 102, 'X': 4, 'Y': 6}",ZIP,0.45,"{'money': 215, 'X': 1, 'Y': 9}"
92,6,7,47,1,X,2,ZIP,0.3,"{'money': 55, 'X': 5, 'Y': 6}",ZIP,0.45,"{'money': 262, 'X': 0, 'Y': 9}"
93,9,6,47,1,X,2,ZIP,0.3,"{'money': 121, 'X': 4, 'Y': 6}",ZIP,0.3,"{'money': 102, 'X': 4, 'Y': 6}"
96,4,5,15,1,Y,2,ZIP,0.4,"{'money': 294, 'X': 0, 'Y': 8}",ZIP,0.2,"{'money': 230, 'X': 2, 'Y': 2}"
97,9,2,15,1,Y,2,ZIP,0.35,"{'money': 106, 'X': 4, 'Y': 7}",ZIP,0.3,"{'money': 137, 'X': 3, 'Y': 6}"
103,6,8,15,1,Y,2,ZIP,0.35,"{'money': 87, 'X': 4, 'Y': 7}",ZIP,0.1,"{'money': 100, 'X': 1, 'Y': 13}"
105,7,5,15,1,Y,2,ZIP,0.5,"{'money': 247, 'X': 0, 'Y': 10}",ZIP,0.2,"{'money': 245, 'X': 2, 'Y': 1}"
106,4,2,15,1,Y,2,ZIP,0.45,"{'money': 279, 'X': 0, 'Y': 9}",ZIP,0.3,"{'money': 152, 'X': 3, 'Y': 5}"
108,6,8,15,1,Y,2,ZIP,0.4,"{'money': 72, 'X': 4, 'Y': 8}",ZIP,0.1,"{'money': 115, 'X': 1, 'Y': 12}"
111,1,5,15,1,Y,2,ZIP,0.5,"{'money': 279, 'X': 0, 'Y': 10}",ZIP,0.2,"{'money': 260, 'X': 2, 'Y': 0}"
112,8,8,15,1,Y,2,ZIP,0.1,"{'money': 115, 'X': 1, 'Y': 12}",ZIP,0.1,"{'money': 115, 'X': 1, 'Y': 12}"
112,4,2,15,1,Y,2,ZIP,0.5,"{'money': 264, 'X': 0, 'Y': 10}",ZIP,0.3,"{'money': 167, 'X': 3, 'Y': 4}"
116,1,8,15,1,Y,2,ZIP,0.55,"{'money': 264, 'X': 0, 'Y': 11}",ZIP,0.1,"{'money': 130, 'X': 1, 'Y': 11}"
116,7,2,15,1,Y,2,ZIP,0.55,"{'money': 232, 'X': 0, 'Y': 11}",ZIP,0.3,"{'money': 182, 'X': 3, 'Y': 3}"
118,5,2,15,1,Y,2,ZIP,0.2,"{'money': 245, 'X': 2, 'Y': 1}",ZIP,0.3,"{'money': 197, 'X': 3, 'Y': 2}"
119,8,5,15,1,Y,2,ZIP,0.1,"{'money': 115, 'X': 1, 'Y': 12}",ZIP,0.2,"{'money': 260, 'X': 2, 'Y': 0}"
121,1,8,15,1,Y,2,ZIP,0.6,"{'money': 249, 'X': 0, 'Y': 12}",ZIP,0.1,"{'money': 130, 'X': 1, 'Y': 11}"
122,4,8,15,1,Y,2,ZIP,0.55,"{'money': 249, 'X': 0, 'Y': 11}",ZIP,0.1,"{'money': 145, 'X': 1, 'Y': 10}"
123,9,2,15,1,Y,2,ZIP,0.4,"{'money': 91, 'X': 4, 'Y': 8}",ZIP,0.3,"{'money': 212, 'X': 3, 'Y': 1}"
125,9,8,15,1,Y,2,ZIP,0.4,"{'money': 76, 'X': 4, 'Y': 9}",ZIP,0.1,"{'money': 160, 'X': 1, 'Y': 9}"
129,5,9,15,1,Y,2,ZIP,0.2,"{'money': 245, 'X': 2, 'Y': 1}",ZIP,0.4,"{'money': 91, 'X': 4, 'Y': 8}"
130,6,2,15,1,Y,2,ZIP,0.4,"{'money': 57, 'X': 4, 'Y': 9}",ZIP,0.3,"{'money': 227, 'X': 3, 'Y': 0}"
132,6,5,15,1,Y,2,ZIP,0.4,"{'money': 42, 'X': 4, 'Y': 10}",ZIP,0.2,"{'money': 260, 'X': 2, 'Y': 0}"
136,5,8,15,1,Y,2,ZIP,0.2,"{'money': 245, 'X': 2, 'Y': 1}",ZIP,0.1,"{'money': 175, 'X': 1, 'Y': 8}"
137,4,8,15,1,Y,2,ZIP,0.585,"{'money': 234, 'X': 0, 'Y': 12}",ZIP,0.1,"{'money': 190, 'X': 1, 'Y': 7}"
139,6,6,15,1,Y,2,ZIP,0.4,"{'money': 42, 'X': 4, 'Y': 10}",ZIP,0.4,"{'money': 42, 'X': 4, 'Y': 10}"
141,8,6,15,1,Y,2,ZIP,0.1,"{'money': 175, 'X': 1, 'Y': 8}",ZIP,0.4,"{'money': 57, 'X': 4, 'Y': 9}"
145,8,6,15,1,Y,2,ZIP,0.1,"{'money': 160, 'X': 1, 'Y': 9}",ZIP,0.4,"{'money': 72, 'X': 4, 'Y': 8}"
150,8,5,15,1,Y,2,ZIP,0.1,"{'money': 145, 'X': 1, 'Y': 10}",ZIP,0.2,"{'money': 260, 'X': 2, 'Y': 0}"
160,5,8,15,1,Y,2,ZIP,0.2,"{'money': 245, 'X': 2, 'Y': 1}",ZIP,0.1,"{'money': 160, 'X': 1, 'Y': 9}"
163,9,5,15,1,Y,2,ZIP,0.4,"{'money': 76, 'X': 4, 'Y': 9}",ZIP,0.2,"{'money': 260, 'X': 2, 'Y': 0}"
165,5,9,15,1,Y,2,ZIP,0.2,"{'money': 245, 'X': 2, 'Y': 1}",ZIP,0.4,"{'money': 91, 'X': 4, 'Y': 8}"
166,5,8,15,1,Y,2,ZIP,0.2,"{'money': 230, 'X': 2, 'Y': 2}",ZIP,0.1,"{'money': 175, 'X': 1, 'Y': 8}"
168,8,5,15,1,Y,2,ZIP,0.1,"{'money': 160, 'X': 1, 'Y': 9}",ZIP,0.2,"{'money': 245, 'X': 2, 'Y': 1}"
170,5,8,15,1,Y,2,ZIP,0.2,"{'money': 230, 'X': 2, 'Y': 2}",ZIP,0.1,"{'money': 175, 'X': 1, 'Y': 8}"
174,6,8,15,1,Y,2,ZIP,0.4,"{'money': 57, 'X': 4, 'Y': 9}",ZIP,0.1,"{'money': 190, 'X': 1, 'Y': 7}"
177,5,8,15,1,Y,2,ZIP,0.2,"{'money': 215, 'X': 2, 'Y': 3}",ZIP,0.1,"{'money': 205, 'X': 1, 'Y': 6}"
179,9,6,15,1,Y,2,ZIP,0.4,"{'money': 76, 'X': 4, 'Y': 9}",ZIP,0.4,"{'money': 72, 'X': 4, 'Y': 8}"
182,8,8,15,1,Y,2,ZIP,0.1,"{'money': 205, 'X': 1, 'Y': 6}",ZIP,0.1,"{'money': 205, 'X': 1, 'Y': 6}"
184,9,5,15,1,Y,2,ZIP,0.4,"{'money': 61, 'X': 4, 'Y': 10}",ZIP,0.2,"{'money': 230, 'X': 2, 'Y': 2}"
186,5,9,15,1,Y,2,ZIP,0.2,"{'money': 215, 'X': 2, 'Y': 3}",ZIP,0.4,"{'money': 76, 'X': 4, 'Y': 9}"
189,6,5,15,1,Y,2,ZIP,0.4,"{'money': 57, 'X': 4, 'Y': 9}",ZIP,0.2,"{'money': 230, 'X': 2, 'Y': 2}"
191,9,9,15,1,Y,2,ZIP,0.4,"{'money': 76, 'X': 4, 'Y': 9}",ZIP,0.4,"{'money': 76, 'X': 4, 'Y': 9}"
192,8,9,15,1,Y,2,ZIP,0.1,"{'money': 190, 'X': 1, 'Y': 7}",ZIP,0.4,"{'money': 91, 'X': 4, 'Y': 8}"
193,6,6,15,1,Y,2,ZIP,0.4,"{'money': 57, 'X': 4, 'Y': 9}",ZIP,0.4,"{'money': 57, 'X': 4, 'Y': 9}"
194,5,5,15,1,Y,2,ZIP,0.2,"{'money': 230, 'X': 2, 'Y': 2}",ZIP,0.2,"{'money': 230, 'X': 2, 'Y': 2}"
195,9,6,15,1,Y,2,ZIP,0.4,"{'money': 76, 'X': 4, 'Y': 9}",ZIP,0.4,"{'money': 72, 'X': 4, 'Y': 8}"
198,8,9,15,1,Y,2,ZIP,0.1,"{'money': 175, 'X': 1, 'Y': 8}",ZIP,0.4,"{'money': 91, 'X': 4, 'Y': 8}"
198,5,8,15,1,Y,2,ZIP,0.2,"{'money': 215, 'X': 2, 'Y': 3}",ZIP,0.1,"{'money': 190, 'X': 1, 'Y': 7}"
