avg_util,talgo,ttype,time,period
0.35639999999999994,ZIP,1,209,2
0.3329,ZIP,2,209,2
0.2789999999999999,ZIP,3,209,2
0.4333000000000001,GDZ,1,209,2
0.6430833333333332,GDZ,2,209,2
0.3273333333333334,GDZ,3,209,2
0.35639999999999994,ZIP,1,210,2
0.3329,ZIP,2,210,2
0.2789999999999999,ZIP,3,210,2
0.4333000000000001,GDZ,1,210,2
0.6430833333333332,GDZ,2,210,2
0.3273333333333334,GDZ,3,210,2
0.35639999999999994,ZIP,1,211,2
0.3329,ZIP,2,211,2
0.2789999999999999,ZIP,3,211,2
0.4333000000000001,GDZ,1,211,2
0.6430833333333332,GDZ,2,211,2
0.3273333333333334,GDZ,3,211,2
0.35639999999999994,ZIP,1,212,2
0.3329,ZIP,2,212,2
0.2789999999999999,ZIP,3,212,2
0.4333000000000001,GDZ,1,212,2
0.6430833333333332,GDZ,2,212,2
0.3273333333333334,GDZ,3,212,2
0.35639999999999994,ZIP,1,213,2
0.3329333333333334,ZIP,2,213,2
0.2789999999999999,ZIP,3,213,2
0.4333000000000001,GDZ,1,213,2
0.6430833333333332,GDZ,2,213,2
0.3273333333333334,GDZ,3,213,2
0.35639999999999994,ZIP,1,214,2
0.3329333333333334,ZIP,2,214,2
0.2789999999999999,ZIP,3,214,2
0.4333000000000001,GDZ,1,214,2
0.6430833333333332,GDZ,2,214,2
0.3273333333333334,GDZ,3,214,2
0.35639999999999994,ZIP,1,215,2
0.33315000000000006,ZIP,2,215,2
0.2789999999999999,ZIP,3,215,2
0.4333000000000001,GDZ,1,215,2
0.6430833333333332,GDZ,2,215,2
0.3273333333333334,GDZ,3,215,2
0.3567333333333333,ZIP,1,216,2
0.33315000000000006,ZIP,2,216,2
0.2789999999999999,ZIP,3,216,2
0.4333000000000001,GDZ,1,216,2
0.6430833333333332,GDZ,2,216,2
0.3273333333333334,GDZ,3,216,2
0.3569500000000001,ZIP,1,217,2
0.33315000000000006,ZIP,2,217,2
0.2789999999999999,ZIP,3,217,2
0.4333000000000001,GDZ,1,217,2
0.6430833333333332,GDZ,2,217,2
0.3273333333333334,GDZ,3,217,2
0.3569500000000001,ZIP,1,218,2
0.33315000000000006,ZIP,2,218,2
0.2789999999999999,ZIP,3,218,2
0.4333000000000001,GDZ,1,218,2
0.6430833333333332,GDZ,2,218,2
0.3273333333333334,GDZ,3,218,2
0.3569500000000001,ZIP,1,219,2
0.33315000000000006,ZIP,2,219,2
0.2789999999999999,ZIP,3,219,2
0.4333000000000001,GDZ,1,219,2
0.6430833333333332,GDZ,2,219,2
0.3273333333333334,GDZ,3,219,2
0.3569500000000001,ZIP,1,220,2
0.33315000000000006,ZIP,2,220,2
0.2789999999999999,ZIP,3,220,2
0.4333000000000001,GDZ,1,220,2
0.6430833333333332,GDZ,2,220,2
0.3273333333333334,GDZ,3,220,2
0.3569500000000001,ZIP,1,221,2
0.33381666666666654,ZIP,2,221,2
0.2789999999999999,ZIP,3,221,2
0.4333000000000001,GDZ,1,221,2
0.6430833333333332,GDZ,2,221,2
0.3273333333333334,GDZ,3,221,2
0.3570333333333333,ZIP,1,222,2
0.33424999999999994,ZIP,2,222,2
0.2789999999999999,ZIP,3,222,2
0.4333000000000001,GDZ,1,222,2
0.6430833333333332,GDZ,2,222,2
0.3273333333333334,GDZ,3,222,2
0.3570333333333333,ZIP,1,223,2
0.3342833333333334,ZIP,2,223,2
0.2789999999999999,ZIP,3,223,2
0.4333000000000001,GDZ,1,223,2
0.6430833333333332,GDZ,2,223,2
0.3273333333333334,GDZ,3,223,2
0.3570333333333333,ZIP,1,224,2
0.3342833333333334,ZIP,2,224,2
0.2789999999999999,ZIP,3,224,2
0.4333000000000001,GDZ,1,224,2
0.6430833333333332,GDZ,2,224,2
0.3273333333333334,GDZ,3,224,2
0.3570333333333333,ZIP,1,225,2
0.3343166666666666,ZIP,2,225,2
0.2789999999999999,ZIP,3,225,2
0.4333000000000001,GDZ,1,225,2
0.6430833333333332,GDZ,2,225,2
0.3273333333333334,GDZ,3,225,2
0.3573666666666666,ZIP,1,226,2
0.3343166666666666,ZIP,2,226,2
0.2789999999999999,ZIP,3,226,2
0.4333000000000001,GDZ,1,226,2
0.6430833333333332,GDZ,2,226,2
0.3273333333333334,GDZ,3,226,2
0.3577,ZIP,1,227,2
0.3343166666666666,ZIP,2,227,2
0.2789999999999999,ZIP,3,227,2
0.4333000000000001,GDZ,1,227,2
0.6430833333333332,GDZ,2,227,2
0.3273333333333334,GDZ,3,227,2
0.3577,ZIP,1,228,2
0.3343166666666666,ZIP,2,228,2
0.2789999999999999,ZIP,3,228,2
0.4333000000000001,GDZ,1,228,2
0.6430833333333332,GDZ,2,228,2
0.3273333333333334,GDZ,3,228,2
0.3577,ZIP,1,229,2
0.33505000000000007,ZIP,2,229,2
0.2789999999999999,ZIP,3,229,2
0.4333000000000001,GDZ,1,229,2
0.6430833333333332,GDZ,2,229,2
0.3273333333333334,GDZ,3,229,2
0.3577,ZIP,1,230,2
0.33505000000000007,ZIP,2,230,2
